Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene
4,16,27.94979739,28.08936785,0.543603356,water_rep1,water,4615/4616,znf_cds,exp
4,26,27.36210269,27.17193983,0.189329834,rt-znf_2_rep1,rt-,4615/4616,znf_cds,exp
4,23,27.43671394,27.4000229,0.045611933,rt-znf_1_rep1,rt-,4615/4616,znf_cds,exp
4,20,27.33544567,27.3670476,0.114207952,rt-pcas13d_rep1,rt-,4615/4616,znf_cds,exp
4,30,27.25500274,27.40017578,0.125764432,rt-znf_3_rep2,rt-,4615/4616,znf_cds,exp
4,20,27.49372889,27.3670476,0.114207952,rt-pcas13d_rep1,rt-,4615/4616,znf_cds,exp
4,17,27.95825215,27.89295164,0.08137696,rt-uninjected_rep1,rt-,4615/4616,znf_cds,exp
4,27,27.29516104,27.29193915,0.174683741,rt-znf_2_rep2,rt-,4615/4616,znf_cds,exp
4,24,27.62318822,27.47498024,0.249969498,rt-znf_1_rep2,rt-,4615/4616,znf_cds,exp
4,21,27.37325452,27.34946883,0.087428392,rt-pcas13d_rep2,rt-,4615/4616,znf_cds,exp
4,31,27.19125374,27.52166334,0.470548216,rt-znf_3_rep3,rt-,4615/4616,znf_cds,exp
4,29,27.27823642,27.23199046,0.05785686,rt-znf_3_rep1,rt-,4615/4616,znf_cds,exp
4,28,27.26388216,27.20710528,0.134213846,rt-znf_2_rep3,rt-,4615/4616,znf_cds,exp
4,28,27.05383431,27.20710528,0.134213846,rt-znf_2_rep3,rt-,4615/4616,znf_cds,exp
4,28,27.30359936,27.20710528,0.134213846,rt-znf_2_rep3,rt-,4615/4616,znf_cds,exp
4,25,27.18168685,26.96056147,0.200895569,rt-znf_1_rep3,rt-,4615/4616,znf_cds,exp
4,22,27.55649778,27.47745104,0.100142433,rt-pcas13d_rep3,rt-,4615/4616,znf_cds,exp
4,32,27.68539267,28.10874333,0.598708255,water_rep2,water,4615/4616,znf_cds,exp
4,31,27.31332062,27.52166334,0.470548216,rt-znf_3_rep3,rt-,4615/4616,znf_cds,exp
4,30,27.46955561,27.40017578,0.125764432,rt-znf_3_rep2,rt-,4615/4616,znf_cds,exp
4,29,27.16711344,27.23199046,0.05785686,rt-znf_3_rep1,rt-,4615/4616,znf_cds,exp
4,19,27.37840356,27.38228831,0.068099754,rt-uninjected_rep3,rt-,4615/4616,znf_cds,exp
4,26,26.98345417,27.17193983,0.189329834,rt-znf_2_rep1,rt-,4615/4616,znf_cds,exp
4,27,27.11566675,27.29193915,0.174683741,rt-znf_2_rep2,rt-,4615/4616,znf_cds,exp
4,16,28.68914806,28.08936785,0.543603356,water_rep1,water,4615/4616,znf_cds,exp
4,23,27.3489547,27.4000229,0.045611933,rt-znf_1_rep1,rt-,4615/4616,znf_cds,exp
4,32,NA,NA,NA,water_rep2,water,4615/4616,znf_cds,exp
4,16,27.62915811,28.08936785,0.543603356,water_rep1,water,4615/4616,znf_cds,exp
4,30,27.47596899,27.40017578,0.125764432,rt-znf_3_rep2,rt-,4615/4616,znf_cds,exp
4,27,27.46498966,27.29193915,0.174683741,rt-znf_2_rep2,rt-,4615/4616,znf_cds,exp
4,18,28.27479198,27.68493824,0.5255609,rt-uninjected_rep2,rt-,4615/4616,znf_cds,exp
4,17,27.80178564,27.89295164,0.08137696,rt-uninjected_rep1,rt-,4615/4616,znf_cds,exp
4,24,27.18637556,27.47498024,0.249969498,rt-znf_1_rep2,rt-,4615/4616,znf_cds,exp
4,25,26.91071702,26.96056147,0.200895569,rt-znf_1_rep3,rt-,4615/4616,znf_cds,exp
