Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene,dMean,MeanRank,Outlier
3,4,20.37559503,20.17352938,0.177913913,pcas13d_rep1,pcas13d,944/945,taf15,exp,0.040830526909921686,3,No
3,15,20.5842754,20.42085733,0.14518901,znf_3_rep3,znf_3,944/945,taf15,exp,0.02670546560252449,3,No
3,15,20.30673305,20.42085733,0.14518901,znf_3_rep3,znf_3,944/945,taf15,exp,0.013024351285518898,2,No
3,15,20.37156352,20.42085733,0.14518901,znf_3_rep3,znf_3,944/945,taf15,exp,0.0024298797043162744,1,No
3,5,21.04548179,20.44600849,0.524222459,pcas13d_rep2,pcas13d,944/945,taf15,exp,0.3593682374128896,3,Yes
3,9,19.9262117,20.07188632,0.427670656,znf_1_rep3,znf_1,944/945,taf15,exp,0.021221094912144748,1,No
3,9,19.73608397,20.07188632,0.427670656,znf_1_rep3,znf_1,944/945,taf15,exp,0.11276321826552356,2,No
3,9,20.55336328,20.07188632,0.427670656,znf_1_rep3,znf_1,944/945,taf15,exp,0.23182006301084007,3,Yes
3,6,20.50705978,20.49589468,0.231321266,pcas13d_rep3,pcas13d,944/945,taf15,exp,1.2465945800998847e-4,1,No
3,10,20.38172968,20.5545771,0.316648223,znf_2_rep1,znf_2,944/945,taf15,exp,0.02987623060065643,1,No
3,10,20.3619687,20.5545771,0.316648223,znf_2_rep1,znf_2,944/945,taf15,exp,0.03709799575056039,2,No
3,10,20.92003293,20.5545771,0.316648223,znf_2_rep1,znf_2,944/945,taf15,exp,0.1335579636809903,3,Yes
3,7,20.24770048,20.27793307,0.058640947,znf_1_rep1,znf_1,944/945,taf15,exp,9.140094981081405e-4,1,No
3,7,20.24057791,20.27793307,0.058640947,znf_1_rep1,znf_1,944/945,taf15,exp,0.0013954079786256456,2,No
3,7,20.34552082,20.27793307,0.058640947,znf_1_rep1,znf_1,944/945,taf15,exp,0.004568103950062673,3,No
3,11,20.1873951,20.20888198,0.116858002,znf_2_rep2,znf_2,944/945,taf15,exp,4.6168601213445186e-4,1,No
3,11,20.10425849,20.20888198,0.116858002,znf_2_rep2,znf_2,944/945,taf15,exp,0.010946074659780433,2,No
3,11,20.33499235,20.20888198,0.116858002,znf_2_rep2,znf_2,944/945,taf15,exp,0.01590382542153671,3,No
3,1,20.16095344,20.12984865,0.129572367,uninjected_rep1,uninjected,944/945,taf15,exp,9.675079609441341e-4,1,No
3,8,20.50463437,20.64339548,0.150590377,znf_1_rep2,znf_1,944/945,taf15,exp,0.019254645648431337,2,No
3,8,20.622021,20.64339548,0.150590377,znf_1_rep2,znf_1,944/945,taf15,exp,4.5686839527034193e-4,1,No
3,8,20.80353108,20.64339548,0.150590377,znf_1_rep2,znf_1,944/945,taf15,exp,0.025643410387360087,3,No
3,12,20.4815156,20.54542781,0.100735386,znf_2_rep3,znf_2,944/945,taf15,exp,0.004084770587083847,2,No
3,12,20.49321717,20.54542781,0.100735386,znf_2_rep3,znf_2,944/945,taf15,exp,0.002725950929209435,1,No
4,1,23.50339944,23.46053077,0.065147407,uninjected_rep1,uninjected,4615/4616,znf_cds,exp,0.0018377228675689617,2,No
4,2,23.38158693,23.38170421,0.038729549,uninjected_rep2,uninjected,4615/4616,znf_cds,exp,1.375459839947856e-8,1,No
4,9,24.89940884,24.90871529,0.123291687,znf_1_rep3,znf_1,4615/4616,znf_cds,exp,8.661001160250764e-5,1,No
4,10,24.12205567,24.21443197,0.094100826,znf_2_rep1,znf_2,4615/4616,znf_cds,exp,0.008533380801689625,2,No
4,6,23.80492154,23.82563369,0.046537574,pcas13d_rep3,pcas13d,4615/4616,znf_cds,exp,4.2899315762255684e-4,1,No
4,7,24.94198834,25.03167694,0.077677253,znf_1_rep1,znf_1,4615/4616,znf_cds,exp,0.008044044969959783,3,No
4,3,23.51289427,23.50761469,0.043457248,uninjected_rep3,uninjected,4615/4616,znf_cds,exp,2.7873964976398303e-5,1,No
4,1,23.38556241,23.46053077,0.065147407,uninjected_rep1,uninjected,4615/4616,znf_cds,exp,0.00562025500108956,3,No
4,11,24.13377479,24.18618922,0.059073852,znf_2_rep2,znf_2,4615/4616,znf_cds,exp,0.0027472724722247847,2,No
4,8,25.7371232,25.60767514,0.133439047,znf_1_rep2,znf_1,4615/4616,znf_cds,exp,0.016756800237763048,2,No
4,5,23.59512563,23.52657491,0.07025018,pcas13d_rep2,pcas13d,4615/4616,znf_cds,exp,0.004699201212518059,2,No
4,5,23.45474044,23.52657491,0.07025018,pcas13d_rep2,pcas13d,4615/4616,znf_cds,exp,0.0051601910801812485,3,No
4,4,23.34617822,23.42455028,0.089861683,pcas13d_rep1,pcas13d,4615/4616,znf_cds,exp,0.006142179788643525,2,No
4,2,23.34303343,23.38170421,0.038729549,uninjected_rep2,uninjected,4615/4616,znf_cds,exp,0.001495429225808427,2,No
4,12,24.29914602,24.30510345,0.106586665,znf_2_rep3,znf_2,4615/4616,znf_cds,exp,3.549097220492695e-5,1,No
4,9,24.79034054,24.90871529,0.123291687,znf_1_rep3,znf_1,4615/4616,znf_cds,exp,0.01401258143756273,2,No
4,12,24.41454388,24.30510345,0.106586665,znf_2_rep3,znf_2,4615/4616,znf_cds,exp,0.011977207718584761,3,No
4,6,23.79304794,23.82563369,0.046537574,pcas13d_rep3,pcas13d,4615/4616,znf_cds,exp,0.0010618311030624402,2,No
4,9,25.03639649,24.90871529,0.123291687,znf_1_rep3,znf_1,4615/4616,znf_cds,exp,0.016302488833440352,3,No
4,3,23.46175885,23.50761469,0.043457248,uninjected_rep3,uninjected,4615/4616,znf_cds,exp,0.002102758062105741,3,No
4,13,24.67777915,24.60528722,0.065065888,znf_3_rep1,znf_3,4615/4616,znf_cds,exp,0.00525507991512464,3,No
4,6,23.8789316,23.82563369,0.046537574,pcas13d_rep3,pcas13d,4615/4616,znf_cds,exp,0.0028406672103682366,3,No
4,10,24.21107287,24.21443197,0.094100826,znf_2_rep1,znf_2,4615/4616,znf_cds,exp,1.1283552810005619e-5,1,No
4,13,24.58613687,24.60528722,0.065065888,znf_3_rep1,znf_3,4615/4616,znf_cds,exp,3.667359051225121e-4,1,No
4,7,25.07737071,25.03167694,0.077677253,znf_1_rep1,znf_1,4615/4616,znf_cds,exp,0.002087920616812877,2,No
4,4,23.40484246,23.42455028,0.089861683,pcas13d_rep1,pcas13d,4615/4616,znf_cds,exp,3.883981691522879e-4,1,No
4,14,24.16950008,24.23387566,0.068053831,znf_3_rep2,znf_3,4615/4616,znf_cds,exp,0.0041442153003364126,2,No
4,7,25.07567178,25.03167694,0.077677253,znf_1_rep1,znf_1,4615/4616,znf_cds,exp,0.0019355459466255884,1,No
4,11,24.25020207,24.18618922,0.059073852,znf_2_rep2,znf_2,4615/4616,znf_cds,exp,0.0040976449651226295,3,No
4,14,24.30509117,24.23387566,0.068053831,znf_3_rep2,znf_3,4615/4616,znf_cds,exp,0.005071648864560358,3,No
4,8,25.61532776,25.60767514,0.133439047,znf_1_rep2,znf_1,4615/4616,znf_cds,exp,5.8562592864372795e-5,1,No
4,15,24.48525735,24.39320537,0.086906822,znf_3_rep3,znf_3,4615/4616,znf_cds,exp,0.00847356702192055,3,No
4,8,25.47057446,25.60767514,0.133439047,znf_1_rep2,znf_1,4615/4616,znf_cds,exp,0.0187965964564623,3,No
4,12,24.20162043,24.30510345,0.106586665,znf_2_rep3,znf_2,4615/4616,znf_cds,exp,0.01070873542832088,2,No
4,15,24.31257273,24.39320537,0.086906822,znf_3_rep3,znf_3,4615/4616,znf_cds,exp,0.006501622633369767,2,No
