Gene,Name,Sample,Target,Cq Mean,Cq SD,Oligos,Class_gene,Group,hsk_cq,dCT,dCT_mean,ddCT,FoldChange
znf_3prime,uninjected_rep1,1,2,22.574498246666668,0.08174844793922284,5209/5210,exp,uninjected,22.464172910000002,0.11032533666666566,-0.09509481055555469,0.20542014722222035,0.867286075969713
znf_3prime,znf_1_rep1,7,2,24.09116799,0.03410518857412123,5209/5210,exp,znf_1,22.973062256666665,1.1181057333333335,-0.09509481055555469,1.2132005438888882,0.43131071314111674
znf_3prime,znf_3_rep3,15,2,23.606118343333332,0.10082316858998368,5209/5210,exp,znf_3,22.846540023333333,0.7595783199999993,-0.09509481055555469,0.8546731305555539,0.5529906027931725
znf_cds,pcas13d_rep3,6,4,23.825633693333334,0.046537573373851365,4615/4616,exp,pcas13d,23.067334825,0.758298868333334,0.9177807172222217,-0.1594818488888876,1.1168859308826051
znf_cds,znf_1_rep2,8,4,25.60767514,0.13343904842116067,4615/4616,exp,znf_1,23.32657650666667,2.2810986333333325,0.9177807172222217,1.3633179161111109,0.38868735632509416
znf_cds,pcas13d_rep1,4,4,23.424550286666665,0.08986168466539576,4615/4616,exp,pcas13d,22.398121686666666,1.0264285999999991,0.9177807172222217,0.10864788277777748,0.9274568823428307
znf_cds,znf_2_rep3,12,4,24.305103443333334,0.10658666454840969,4615/4616,exp,znf_2,23.1535064,1.1515970433333322,0.9177807172222217,0.23381632611111058,0.8503824179420122
znf_cds,znf_2_rep1,10,4,24.21443197,0.0941008266904691,4615/4616,exp,znf_2,23.353337455000002,0.8610945149999978,0.9177807172222217,-0.05668620222222387,1.0400740174512615
znf_cds,uninjected_rep1,1,4,23.460530776666666,0.06514740689675427,4615/4616,exp,uninjected,22.464172910000002,0.9963578666666635,0.9177807172222217,0.07857714944444183,0.946991151464829
znf_cds,uninjected_rep3,3,4,23.50761469,0.043457248547679524,4615/4616,exp,uninjected,22.535828915,0.9717857750000007,0.9177807172222217,0.054005057777779086,0.9632585170375391
znf_cds,znf_1_rep1,7,4,25.031676943333334,0.077677253856577,4615/4616,exp,znf_1,22.973062256666665,2.058614686666669,0.9177807172222217,1.1408339694444471,0.45349735157658405
znf_cds,znf_1_rep3,9,4,24.90871529,0.12329168723520169,4615/4616,exp,znf_1,22.74684596,2.1618693299999983,0.9177807172222217,1.2440886127777766,0.42217451224051694
znf_cds,znf_3_rep1,13,4,24.60528722,0.06506588959333341,4615/4616,exp,znf_3,23.165401636666665,1.4398855833333357,0.9177807172222217,0.5221048661111141,0.6963551220780082
znf_cds,znf_2_rep2,11,4,24.186189216666666,0.059073856382549916,4615/4616,exp,znf_2,22.729223593333334,1.456965623333332,0.9177807172222217,0.5391849061111103,0.6881595956891322
znf_cds,uninjected_rep2,2,4,23.381704206666665,0.038729548171966575,4615/4616,exp,uninjected,22.27785823,1.1038459766666655,0.9177807172222217,0.18606525944444385,0.8789997989840524
znf_cds,znf_3_rep2,14,4,24.233875656666665,0.06805383510170578,4615/4616,exp,znf_3,22.807432653333333,1.4264430033333326,0.9177807172222217,0.508662286111111,0.7028738633780162
znf_cds,pcas13d_rep2,5,4,23.526574909999997,0.07025017902739392,4615/4616,exp,pcas13d,22.557960226666665,0.9686146833333318,0.9177807172222217,0.05083396611111013,0.9653781199098681
znf_cds,znf_3_rep3,15,4,24.393205366666667,0.0869068213942749,4615/4616,exp,znf_3,22.846540023333333,1.5466653433333342,0.9177807172222217,0.6288846261111125,0.6466761792721429
